samplename,d18O,dD
79,-11.45,-83.3
53,-12.77,-92.2
39,-11.03,-83.7
159,-11.37,-85.4
192,-11.72,-85.9
179,-13.01,-93.3
196,-11.01,-83.9
200,-11.13,-84.7
223,-11.41,-85.3
189,-12.74,-92.9
191,-11.27,-85.3
225,-11.16,-84.8
181,-11.68,-86.6
227,-13.02,-93.4
211,-10.95,-84.3
197,-11.51,-85.5
253,-12.41,-89.1
217,-13.33,-94.2
248,-11.03,-83.9
257,-11.54,-85.7
264,-12.52,-89.9
262,-13.22,-93.9
274,-11.25,-84.9
272,-11.32,-85.3
269,-12.44,-90.1
263,-13.25,-94.5
279,-11.16,-85.0
259,-10.97,-84.5
218,-12.17,-89.2
203,-13.04,-93.9
240,-11.40,-86.0
201,-11.54,-86.8
214,-12.54,-91.4
190,-13.20,-94.4
202,-11.33,-86.0
249,-11.45,-86.5
215,-12.62,-91.1
210,-13.16,-94.0
239,-11.39,-85.4
219,-11.54,-86.2
291,-12.80,-91.9
301,-13.26,-94.3
306,-11.48,-85.8
294,-11.48,-86.1
15,-12.27,-88.8
116,-11.96,-86.9
43,-11.27,-84.6
19,-11.30,-85.0
60,-11.66,-81.4
8,-11.15,-74.3
72,-12.12,-83.1
81,-10.58,-80.5
26,-11.95,-82.8
11,-12.13,-82.6
6,-12.04,-82.0
12,-10.25,-77.9
93,-11.93,-81.9
21,-11.98,-83.6
56,-12.31,-84.3
91,-11.14,-74.4
89,-11.67,-82.6
18,-11.07,-81.0
27,-11.77,-82.9
22,-12.28,-84.6
14,-12.00,-83.1
121,-12.09,-83.3
138,-10.44,-70.5
124,-12.01,-82.7
5,-11.58,-81.1
35,-12.25,-82.3
122,-12.26,-82.4
135,-11.72,-79.4
63,-11.59,-79.9
58,-11.62,-80.1
128,-12.55,-84.7
3,-11.94,-80.1
68,-12.03,-80.8
10,-11.97,-80.6
46,-12.13,-81.5
54,-11.84,-80.2
4,-12.58,-83.8
38,-12.52,-83.6
7,-12.43,-83.7
13,-12.69,-84.6
125,-11.87,-80.4
180,-11.55,-79.3
36,-12.06,-81.4
64,-12.08,-81.6
48,-12.47,-83.6
24,-12.44,-83.6
57,-11.87,-82.3
52,-12.64,-84.9
92,-12.89,-86.9
55,-12.51,-83.7
78,-12.95,-89.0